Date,Open,High,Low,Close,Volume,Number of Trades
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,587461
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,700669
2023-12-06,194.45,194.76,192.11,192.32,41055862.0,491436
2023-12-07,193.63,195.0,193.59,194.27,47413955.0,495048
2023-12-08,194.2,195.99,193.67,195.71,53383658.0,538968
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,691172
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,510768
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,672552
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,691862
2023-12-15,197.53,198.3999,197.0,197.57,127387901.0,625452
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,655763
2023-12-19,196.16,196.95,195.89,196.94,40714051.0,451709
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,550599
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,554844
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,500544
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,488257
2023-12-27,192.49,193.5,191.09,193.15,48087681.0,548076
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,472404
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,509123
